Date,"Seabed mining","Anglerfish"
2025-06-22,21,1001
2025-06-23,18,1035
2025-06-24,18,1042
2025-06-25,19,1027
2025-06-26,31,1421
2025-06-27,24,1177
2025-06-28,14,1220
2025-06-29,20,1345
2025-06-30,24,1138
2025-07-01,15,1128
2025-07-02,29,981
2025-07-03,12,1808
2025-07-04,18,1188
2025-07-05,12,1324
2025-07-06,16,1364
2025-07-07,22,1176
2025-07-08,19,1089
2025-07-09,14,1318
2025-07-10,16,1201
2025-07-11,19,1155
2025-07-12,10,1157
2025-07-13,21,1190
2025-07-14,19,1084
2025-07-15,22,1055
2025-07-16,13,1066
2025-07-17,26,1029
2025-07-18,24,1012
2025-07-19,15,1053
2025-07-20,15,1105
2025-07-21,24,1164
2025-07-22,24,1113
2025-07-23,21,1046
2025-07-24,25,1482
2025-07-25,18,1496
2025-07-26,10,1611
2025-07-27,18,1758
2025-07-28,24,1443
2025-07-29,24,1208
2025-07-30,11,1210
2025-07-31,20,1356
2025-08-01,19,1303
2025-08-02,19,1197
2025-08-03,12,1197
2025-08-04,25,1167
2025-08-05,16,1135
2025-08-06,30,1422
2025-08-07,18,1399
2025-08-08,21,1462
2025-08-09,16,1076
2025-08-10,15,1139
2025-08-11,13,1201
2025-08-12,19,1216
2025-08-13,13,1184
2025-08-14,14,1189
2025-08-15,15,1086
2025-08-16,17,952
2025-08-17,17,1130
2025-08-18,16,1123
2025-08-19,19,1262
2025-08-20,17,1217
2025-08-21,17,1097
2025-08-22,13,1064
2025-08-23,16,1062
2025-08-24,9,1176
2025-08-25,12,1082
2025-08-26,22,1179
2025-08-27,15,1119
2025-08-28,10,1206
2025-08-29,24,1127
2025-08-30,14,989
2025-08-31,13,1012
2025-09-01,18,1169
2025-09-02,22,1059
2025-09-03,20,1131
2025-09-04,26,1077
2025-09-05,19,1020
2025-09-06,19,975
2025-09-07,24,1024
2025-09-08,33,1122
2025-09-09,24,1029
2025-09-10,15,1028
2025-09-11,8,973
2025-09-12,12,985
2025-09-13,18,947
2025-09-14,25,1298
2025-09-15,19,2968
2025-09-16,12,1163
2025-09-17,19,1036
2025-09-18,18,1056
2025-09-19,16,1008
2025-09-20,4,1023
2025-09-21,22,1025
2025-09-22,20,1782
2025-09-23,10,1389
2025-09-24,18,1028
2025-09-25,5,1264
2025-09-26,11,1445
2025-09-27,11,1202
2025-09-28,17,1938
2025-09-29,12,2181
2025-09-30,13,4709
2025-10-01,10,2014
2025-10-02,23,1363
2025-10-03,24,1131
2025-10-04,13,1160
2025-10-05,11,1165
2025-10-06,14,1074
2025-10-07,24,1174
2025-10-08,14,1150
2025-10-09,12,1103
2025-10-10,15,996
2025-10-11,14,983
2025-10-12,17,1071
2025-10-13,16,1087
2025-10-14,15,965
2025-10-15,15,1051
2025-10-16,33,1108
2025-10-17,27,1414
2025-10-18,19,1068
2025-10-19,10,1175
2025-10-20,26,1461
2025-10-21,15,1278
2025-10-22,31,1267
2025-10-23,19,1242
2025-10-24,17,1060
2025-10-25,9,1314
2025-10-26,18,1243
2025-10-27,22,1085
2025-10-28,27,1089
2025-10-29,31,1087
2025-10-30,16,1096
2025-10-31,12,1124
2025-11-01,19,983
2025-11-02,19,984
2025-11-03,18,1035
2025-11-04,25,1248
2025-11-05,15,1482
2025-11-06,29,1608
2025-11-07,24,1746
2025-11-08,18,1831
2025-11-09,16,1601
2025-11-10,17,1301
2025-11-11,18,1190
2025-11-12,34,1343
2025-11-13,20,1163
2025-11-14,13,1146
2025-11-15,23,1115
2025-11-16,26,1196
2025-11-17,15,1259
2025-11-18,20,1229
2025-11-19,26,1201
2025-11-20,10,1181
2025-11-21,13,1202
2025-11-22,20,1061
2025-11-23,15,1103
2025-11-24,20,1248
2025-11-25,17,1128
2025-11-26,18,1182
2025-11-27,16,1317
2025-11-28,9,1020
2025-11-29,14,1034
2025-11-30,19,1119
2025-12-01,17,1307
2025-12-02,11,1120
2025-12-03,31,1029
2025-12-04,15,1187
2025-12-05,12,1076
2025-12-06,27,1077
2025-12-07,21,977
2025-12-08,25,1705
2025-12-09,26,1100
2025-12-10,15,1037
2025-12-11,19,1052
2025-12-12,12,1065
2025-12-13,11,1103
2025-12-14,11,1071
2025-12-15,17,993
2025-12-16,15,1000
2025-12-17,23,1076
2025-12-18,14,1072
2025-12-19,15,982
2025-12-20,15,1050
2025-12-21,23,1628
2025-12-22,24,1604
2025-12-23,9,1020
2025-12-24,11,931
2025-12-25,18,1040
2025-12-26,20,1106
2025-12-27,16,1089
2025-12-28,13,1057
2025-12-29,11,1164
2025-12-30,17,1017
2025-12-31,19,980
2026-01-01,14,1020
2026-01-02,13,1239
2026-01-03,24,1291
2026-01-04,13,1305
2026-01-05,17,1257
2026-01-06,9,1148
2026-01-07,15,981
2026-01-08,19,1027
2026-01-09,21,1020
2026-01-10,17,1106
2026-01-11,17,1143
2026-01-12,25,1148
2026-01-13,22,1136
2026-01-14,20,1163
2026-01-15,8,1129
2026-01-16,12,986
2026-01-17,18,1041
2026-01-18,26,1274
2026-01-19,16,1071
2026-01-20,18,1399
2026-01-21,14,1121
2026-01-22,25,1068
2026-01-23,18,1094
2026-01-24,16,1151
2026-01-25,21,1123
2026-01-26,26,1096
2026-01-27,16,1080
