Date,"Polar bear","Great white shark","Blue whale","Anglerfish"
2024-09-19,2955,2358,2576,1383
2024-09-20,3420,2009,2647,1367
2024-09-21,5607,1971,2575,1291
2024-09-22,4075,2113,2780,1408
2024-09-23,4391,2391,2660,1320
2024-09-24,3977,2356,2610,1382
2024-09-25,3315,2067,2539,1360
2024-09-26,3102,2408,2789,1620
2024-09-27,2867,1980,3131,1470
2024-09-28,2535,1805,3030,1312
2024-09-29,2712,2069,2816,1242
2024-09-30,3465,2079,2688,1425
2024-10-01,3181,1978,2825,1274
2024-10-02,3371,1909,3167,1640
2024-10-03,3071,1941,2557,2537
2024-10-04,2843,2053,3013,2322
2024-10-05,2382,1950,2572,2241
2024-10-06,2695,1937,2503,1866
2024-10-07,2929,2234,2421,1781
2024-10-08,2927,2205,2439,1581
2024-10-09,3085,2750,2536,1574
2024-10-10,3108,2129,2401,1449
2024-10-11,2569,2200,2244,1458
2024-10-12,2426,2436,2298,1423
2024-10-13,2718,2094,2884,1415
2024-10-14,2921,2210,2683,1343
2024-10-15,2922,2171,2427,1399
2024-10-16,2740,2228,2421,1465
2024-10-17,2741,2368,2618,1417
2024-10-18,2594,2255,2367,1396
2024-10-19,2340,1963,2536,1374
2024-10-20,2453,2027,2654,1533
2024-10-21,2842,2300,3130,1547
2024-10-22,2763,2149,2842,1487
2024-10-23,2835,2208,3264,1336
2024-10-24,3241,2055,2578,1381
2024-10-25,2838,1883,2513,1294
2024-10-26,2531,1752,2407,1209
2024-10-27,6846,1932,2627,1376
2024-10-28,4247,1941,2656,1431
2024-10-29,3275,1880,2293,1411
2024-10-30,2975,2006,2397,1436
2024-10-31,2662,1852,2121,1614
2024-11-01,2699,1784,2178,1455
2024-11-02,2581,1882,2457,1289
2024-11-03,2921,2065,2640,1498
2024-11-04,3373,2201,2623,1530
2024-11-05,2960,1863,2309,1462
2024-11-06,2831,1781,2008,1308
2024-11-07,3100,2072,2152,1344
2024-11-08,3243,2109,2314,1250
2024-11-09,2879,1975,2514,1150
2024-11-10,2943,1950,2483,4312
2024-11-11,3263,2093,2500,2990
2024-11-12,3328,2270,3290,1285
2024-11-13,3110,2029,2730,1298
2024-11-14,3261,1886,2473,1351
2024-11-15,3151,2053,2403,1494
2024-11-16,2772,1863,2319,1265
2024-11-17,3165,1970,2381,1318
2024-11-18,3594,2170,2720,1432
2024-11-19,3767,2191,2571,1351
2024-11-20,3451,2158,2571,1281
2024-11-21,4283,2134,2465,1379
2024-11-22,3188,1974,2381,1205
2024-11-23,2737,2190,2438,1179
2024-11-24,3107,2300,2702,1193
2024-11-25,3391,2250,2908,1399
2024-11-26,3134,2244,2851,1189
2024-11-27,2898,2004,2482,1064
2024-11-28,2987,1886,2404,1417
2024-11-29,2829,1859,2766,1059
2024-11-30,2806,2007,2475,1159
2024-12-01,3027,2099,2605,1400
2024-12-02,3071,2100,3083,2591
2024-12-03,3227,2013,2612,2449
2024-12-04,3703,1891,2479,1824
2024-12-05,4033,1982,2364,1367
2024-12-06,4103,2005,3893,1255
2024-12-07,3046,1909,2627,1132
2024-12-08,3012,2075,2462,1045
2024-12-09,3467,2137,2556,1150
2024-12-10,3381,2063,2387,1167
2024-12-11,3277,2067,2747,1164
2024-12-12,3458,2195,2601,1186
2024-12-13,3321,2074,2489,1330
2024-12-14,3205,2000,2387,1263
2024-12-15,3386,2159,2419,1208
2024-12-16,3649,2108,2477,1310
2024-12-17,3365,2077,2470,1235
2024-12-18,3994,2006,2535,1095
2024-12-19,5383,1869,2394,1377
2024-12-20,3385,1806,2444,1101
2024-12-21,3003,1731,2110,1037
2024-12-22,3310,1951,2276,1102
2024-12-23,3335,1748,2270,1059
2024-12-24,3231,1767,2445,1056
2024-12-25,3251,1815,2387,1139
