Date,"Anglerfish","Kendrick Lamar"
2025-10-12,1071,5625
2025-10-13,1087,5332
2025-10-14,965,5450
2025-10-15,1051,5567
2025-10-16,1108,5501
2025-10-17,1414,5338
2025-10-18,1068,5150
2025-10-19,1175,4791
2025-10-20,1461,5422
2025-10-21,1278,6313
2025-10-22,1267,5780
2025-10-23,1242,5361
2025-10-24,1060,5400
2025-10-25,1314,5140
2025-10-26,1243,4681
2025-10-27,1085,4864
2025-10-28,1089,4701
2025-10-29,1087,5259
2025-10-30,1096,5416
2025-10-31,1124,4480
2025-11-01,983,4279
2025-11-02,984,5911
2025-11-03,1035,5455
2025-11-04,1248,5192
2025-11-05,1482,4772
2025-11-06,1608,4908
2025-11-07,1746,8505
2025-11-08,1831,9298
2025-11-09,1601,6295
2025-11-10,1301,5828
2025-11-11,1190,5133
2025-11-12,1343,5235
2025-11-13,1163,5412
2025-11-14,1146,5152
2025-11-15,1115,5059
2025-11-16,1196,4768
2025-11-17,1259,5150
2025-11-18,1229,4827
2025-11-19,1201,4730
2025-11-20,1181,4581
2025-11-21,1202,4782
2025-11-22,1061,4824
2025-11-23,1103,4796
2025-11-24,1248,4804
2025-11-25,1128,4759
2025-11-26,1182,4500
2025-11-27,1317,4528
2025-11-28,1020,4399
2025-11-29,1034,4458
2025-11-30,1119,4480
2025-12-01,1307,4543
2025-12-02,1120,4907
2025-12-03,1029,6605
2025-12-04,1187,7194
2025-12-05,1076,7988
2025-12-06,1077,6398
2025-12-07,977,6079
2025-12-08,1705,6134
2025-12-09,1100,5932
2025-12-10,1037,7481
2025-12-11,1052,8001
2025-12-12,1065,6910
2025-12-13,1103,6622
2025-12-14,1071,6556
2025-12-15,993,5866
2025-12-16,1000,5985
2025-12-17,1076,5479
2025-12-18,1072,5257
2025-12-19,982,5123
2025-12-20,1050,4882
2025-12-21,1628,4851
2025-12-22,1604,4793
2025-12-23,1020,4571
2025-12-24,931,4717
2025-12-25,1040,4529
2025-12-26,1106,4581
2025-12-27,1089,4714
2025-12-28,1057,5006
2025-12-29,1164,4882
2025-12-30,1017,5215
2025-12-31,980,5586
2026-01-01,1020,5404
2026-01-02,1239,5197
2026-01-03,1291,4957
2026-01-04,1305,4828
2026-01-05,1257,4782
2026-01-06,1148,5081
2026-01-07,981,5138
2026-01-08,1027,5007
2026-01-09,1020,5294
2026-01-10,1106,5025
2026-01-11,1143,5163
2026-01-12,1148,4960
2026-01-13,1136,5188
2026-01-14,1163,5619
2026-01-15,1129,6047
2026-01-16,986,6429
2026-01-17,1041,5543
2026-01-18,1274,5779
2026-01-19,1071,5496
2026-01-20,1399,5669
2026-01-21,1121,5557
2026-01-22,1068,5727
2026-01-23,1094,5424
2026-01-24,1151,6773
2026-01-25,1123,5622
2026-01-26,1096,5571
2026-01-27,1080,5375
2026-01-28,1030,5721
2026-01-29,972,5888
2026-01-30,1096,5973
2026-01-31,1336,6080
2026-02-01,1369,10405
